"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R605,R578";"R_4020_10251Metric";2;"0";;;
2;"R288";"R_0805_2012Metric";1;"10";;;
3;"R283,R282";"R_0805_2012Metric";2;"4.7k";;;
4;"R281";"R_0805_2012Metric";1;"26.1k";;;
5;"R279";"R_0805_2012Metric";1;"10k";;;
6;"R278";"R_0805_2012Metric";1;"200";;;
7;"R1";"R_0805_2012Metric";1;"100";;;
8;"Q505";"SOT-23";1;"MMBT3904";;;
9;"Q504";"TO-220-3_Vertical";1;"2SK1308";;;
10;"CR522";"SOT-89-3";1;"TL431PK";;;
11;"C573,C569";"CP_EIA-7343-15_Kemet-W";2;"100µF";;;
12;"C347";"C_0805_2012Metric";1;"100nF";;;
13;"C337";"C_0805_2012Metric";1;"470pf";;;
